typification	typificationLabel
Q62832	521db640-5e4e-463a-af2f-680364622e82: holotype of Abutilon xanti A.Gray
Q62833	0c3306a1-3848-4220-ac5d-aa7451f52c85: isotype of Acacia amanda G.J.Leach
Q62834	ae2b1374-2bf8-445b-87de-4a58b388b709: isotype of Acacia amanda G.J.Leach
Q62835	cc6c02bf-a9b9-432e-baa0-8d6d3cfd27ad: isotype of Acacia amanda G.J.Leach
Q62836	3702c7fe-e245-42ad-b719-8c791d3ecd2e: isotype of Acacia aneura var. microcarpa Pedley
Q62837	99c988d3-61bf-4b1c-afaf-8f6bbb2cb63a: isotype of Acacia areolata M.W.McDonald
Q62838	83123206-0396-4e32-b30f-dee19e33d0b4: holotype of Acacia areolata M.W.McDonald
Q62839	3b87257902d3257e6672becc294918ea: holotype of Acacia angustissima var. oaxacana B.L.Turner
Q62840	http://n2t.net/ark:/65665/32ef67253-3709-4e2f-bfa3-56322871970a: holotype of Acacia allenii D.H.Janzen
Q62841	0f2752ba-6088-49c1-a92f-8b1edf3a194f: isotype of Acacia aptaneura Maslin & J.E.Reid
Q62842	1093c62a-c47b-4fc9-98f1-c58500b40c65: holotype of Acacia aptaneura Maslin & J.E.Reid
Q62843	e7e4954e-9188-4d06-8055-765f256d1ae4: isotype of Acacia anastomosa Maslin, M.D.Barrett & R.L.Barrett
Q62844	93bf9d28-e1c3-4f8b-9595-6ccc75f0745f: isotype of Acacia anastomosa Maslin, M.D.Barrett & R.L.Barrett
Q62845	bac940d7-9199-4ad8-bca7-f3b1dbf40f0f: isotype of Acacia anastomosa Maslin, M.D.Barrett & R.L.Barrett
Q62846	2ab61c73-3807-4d7d-b54e-f5fedfc9af63: isotype of Acacia anastomosa Maslin, M.D.Barrett & R.L.Barrett
Q62847	ab19a4d9-af72-491b-bbcd-5c524c8fcaa3: holotype of Acacia anastomosa Maslin, M.D.Barrett & R.L.Barrett
Q62848	bc8fe7f6-0692-4ffd-9ea9-c49f1ee140b6: isotype of Acacia anserina Maslin, M.D.Barrett & R.L.Barrett
Q62849	ecf31c3c-68a6-4545-bec8-8a2192c10139: isotype of Acacia anserina Maslin, M.D.Barrett & R.L.Barrett
Q62850	7d1a51d6-2d08-4f96-a1bd-bf9bb3b0448b: holotype of Acacia anserina Maslin, M.D.Barrett & R.L.Barrett
Q62851	http://specimens.kew.org/herbarium/K001097306: isotype of Acacia anserina Maslin, M.D.Barrett & R.L.Barrett
Q62852	ff097694-d693-4c8c-8263-5c9f28861758: isotype of Acacia anserina Maslin, M.D.Barrett & R.L.Barrett
Q62853	68778fa0-4df6-4da1-a513-fee456032f19: isotype of Acacia alaticaulis Kodela & Tindale
Q62854	http://n2t.net/ark:/65665/3f92289cc-f753-4097-8778-16c4f37fd48d: isotype of Acacia alaticaulis Kodela & Tindale
Q62855	31bb5dbe-906d-490c-bb48-12335d03f39b: holotype of Acacia alaticaulis Kodela & Tindale
Q62856	ffcfd05f-afd6-4d1d-8d33-a7eed643c2b4: isotype of Acacia alaticaulis Kodela & Tindale
Q62857	http://specimens.kew.org/herbarium/K001636356: isotype of Acacia ammitia Pedley
Q62858	8171b33d-fece-4876-98a9-afdceabce745: isotype of Acacia atopa Pedley
Q62859	1047f8b6-e440-4fbd-a9f1-ba0255d6ad43: isotype of Acacia atopa Pedley
Q62860	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00533759: isotype of Acacia baronii Villiers & Du Puy
Q62861	http://specimens.kew.org/herbarium/K000244336: holotype of Acacia baronii Villiers & Du Puy
Q62862	f7e436a0-49d0-4134-9835-0910def48f0e: holotype of Acacia aspera subsp. parviceps N.G.Walsh
Q62863	762d1f10-42dc-4a61-8895-b22a819626f0: isotype of Acacia aspera subsp. parviceps N.G.Walsh
Q62864	d0763693-f83a-439f-abde-94c603539e8b: isotype of Acacia aspera subsp. parviceps N.G.Walsh
Q62865	2fbd1b37-6a6f-46c3-a93b-8f5eceaf4331: isotype of Acacia aspera subsp. parviceps N.G.Walsh
Q62866	f307b082-e5a0-4000-88f0-0d63fe2e410b: isotype of Acacia argentina Pedley
Q62867	63a695ca-027d-41e3-805c-c382ec6c83fe: isotype of Acacia argentina Pedley
Q62868	56a9f7d8-9e6b-420f-8bf1-f508ccc7d871: isotype of Acacia argentina Pedley
Q62869	616b8ab9-9f5c-4c63-a12f-71a4bdf68d53: isotype of Acacia argentina Pedley
Q62870	d901753d-00e1-4a00-8349-87718a8afd98: isotype of Acacia bromilowiana Maslin
Q62871	gbif:1144582479: isotype of Acacia bromilowiana Maslin
Q62872	966e2d5f-7717-4d8d-911b-9e44fe88448f: isotype of Acacia bromilowiana Maslin
Q62873	3233dc9d-fec8-4edd-9a36-d9a4915a2675: holotype of Acacia bromilowiana Maslin
Q62874	b1b9309b-284f-4c04-b9a1-87b2920baf39: isotype of Acacia bromilowiana Maslin
Q62875	7204359b-82de-46ea-92e6-317abb554035: isotype of Acacia bromilowiana Maslin
Q62876	3a6c07a0-e44b-4918-9089-50a2f6da8b65: isotype of Acacia barrettiorum Lewington & Maslin
Q62877	dc9e2e55-c23f-4867-a12b-f5ff40b0ea1a: isotype of Acacia barrettiorum Lewington & Maslin
Q62878	817e4ee4-9b32-44f1-9348-1d524ee4cd02: isotype of Acacia barrettiorum Lewington & Maslin
Q62879	6a257ae6-9dcd-4b68-8e9c-a3088789a23f: isotype of Acacia barrettiorum Lewington & Maslin
Q62880	fe2fcb57-187c-42c3-ac19-b475f557fcc5: isotype of Acacia barrettiorum Lewington & Maslin
Q62881	7dd9fbfe-0cc0-4eee-a3dc-7e55d53fdd72: holotype of Acacia barrettiorum Lewington & Maslin
Q62882	11e3c05c-42d4-47c6-8e42-9f2f3583ced4: isotype of Acacia barrettiorum Lewington & Maslin
Q62883	683e6573-d816-4b4f-b610-a08b01a6afb4: isotype of Acacia bartlei Maslin & J.E.Reid
Q62884	c6a7198e-f074-47d2-a4fb-4eb5f485639d: isotype of Acacia bartlei Maslin & J.E.Reid
Q62885	http://specimens.kew.org/herbarium/K001874303: isotype of Acacia bartlei Maslin & J.E.Reid
Q62886	http://specimens.kew.org/herbarium/K001874302: isotype of Acacia bartlei Maslin & J.E.Reid
Q62887	b7aeea68-da95-4d75-8285-4014b1783238: holotype of Acacia bartlei Maslin & J.E.Reid
Q62888	398be288-e8e0-428c-9da3-9781f66c3d76: isotype of Acacia bartlei Maslin & J.E.Reid
Q62889	fd710f45-e39f-499e-97c1-077535ca1cf9: isotype of Acacia besleyi Maslin
Q62890	http://specimens.kew.org/herbarium/K000608048: isotype of Acacia besleyi Maslin
Q62891	b4330ab1-35e9-4971-9993-d87d7cada167: holotype of Acacia besleyi Maslin
Q62892	0d07f765-39ec-4018-afb5-c6b97ee8a908: isotype of Acacia besleyi Maslin
Q62893	f97ca28e-3cec-4158-b9a1-788a2c11aff1: isotype of Acacia besleyi Maslin
Q62894	ab74755e-9714-4b50-b6a3-c8f9c8cb80dc: holotype of Acacia boormanii subsp. gibba K.J.Tucker
Q62895	0abc2114-ee59-433c-9f63-419d64e76299: isotype of Acacia armigera R.W.Davis, K.R.Thiele & Cockerton
Q62896	11a3de2b-c42a-4569-b0f0-052c81b165df: isotype of Acacia clelandii Pedley
Q62897	bfc286c3-b066-47b4-96bc-7b4961734d36: isotype of Acacia clarksoniana Pedley
Q62898	http://n2t.net/ark:/65665/32c99e594-7024-4a2c-8ef4-74f7af16651d: holotype of Acacia caurina Barneby & Zanoni
Q62899	45d3391e-e70c-4742-a7ea-fac9bc37e043: isotype of Acacia burrana Pedley
Q62900	187a166b-995f-446d-b863-8a83777c5870: isotype of Acacia burrowsiana Maslin
Q62901	c389fb7b-6690-44ad-abf0-a4ca02f2f8ee: isotype of Acacia burrowsiana Maslin
Q62902	9570f004-9e59-49ff-be99-e89d7248021e: isotype of Acacia burrowsiana Maslin
Q62903	f384933a-149b-49e2-89b1-5bd01861f498: isotype of Acacia burrowsiana Maslin
Q62904	9be032cf-fcec-4bed-9106-f4c1c82d00a8: isotype of Acacia burrowsiana Maslin
Q62905	dbe9bec6-6b25-45dc-9edc-a8ab23dc657a: holotype of Acacia burrowsiana Maslin
Q62906	6baec5e3-67af-49b3-92ef-01566ad662a7: holotype of Acacia catenulata subsp. occidentalis Maslin
Q62907	36c99d79-5349-499b-85fe-a1c320ddba27: holotype of Acacia caesaneura Maslin & J.E.Reid
Q62908	dcd95a74-c147-4f16-a362-e0b0fa5f3ccf: holotype of Acacia caesaneura Maslin & J.E.Reid
Q62909	6e42d690-1c8f-4ad0-8098-0dc51a32b8d9: holotype of Acacia camptocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62910	9ac016d8-4ade-477a-948c-a2464c6ba8d7: isotype of Acacia camptocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62911	18e3185c-0af7-4f08-a3ea-944df41aa28a: isotype of Acacia camptocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62912	4192e665-223b-4aee-9251-aaf56c96e63b: isotype of Acacia camptocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62913	f35064a5-ad3e-402f-ae9e-d66c0d5a3227: isotype of Acacia camptocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62914	0e85e355-34fd-406b-85aa-9efc22865c1c: isotype of Acacia derwentiana A.M.Gray
Q62915	73facf40-f1f2-4c09-9ed5-805f3050f794: holotype of Acacia derwentiana A.M.Gray
Q62916	ad0e788f-bc08-4a7b-a956-8e0d3f057fc0: holotype of Acacia cockertoniana Maslin
Q62917	http://specimens.kew.org/herbarium/K001097307: isotype of Acacia cyclocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62918	685edad7-23e3-471b-8859-2e6388c3c1e3: isotype of Acacia cyclocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62919	0e9c664d-c0b3-4322-ac67-a8691d68a919: holotype of Acacia cyclocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62920	78eee84a-b41f-41fa-a458-ca1d66770ab1: isotype of Acacia cyclocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62921	3eef41f6-92cb-49e1-852b-d9077fd0a8e9: isotype of Acacia cyclocarpa Maslin, M.D.Barrett & R.L.Barrett
Q62922	9135f954-1be2-4a34-83e2-9eba7c81847f: isotype of Acacia coatesii Maslin
Q62923	e8b73358-7eab-4f27-a653-e142b524c3c4: isotype of Acacia coatesii Maslin
Q62924	2cf8e9cd-f518-45ca-a3c4-1a02a17b1cee: isotype of Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett
Q62925	b630b3e6-187b-41c3-b9da-d351337e30d5: holotype of Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett
Q62926	3f21aba4-72b0-45a3-b200-b7ca785a1546: isotype of Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett
Q62927	60f0ee02-26ea-4a04-b11f-f8d2b9f6b493: isotype of Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett
Q62928	http://specimens.kew.org/herbarium/K001097310: isotype of Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett
Q62929	b8e4f90f-2422-433f-b07c-4d05fbc35b41: holotype of Acacia citriodora Kodela & Maslin
Q62930	fcbb38ea-2231-44d6-a8db-c6f3ad610849: isotype of Acacia citriodora Kodela & Maslin
Q62931	f1d782cb-478a-44d7-b193-bab659a5c62d: isotype of Acacia dealbata subsp. subalpina Tindale & Kodela
Q62932	http://n2t.net/ark:/65665/38db48008-fb48-45ff-83b0-99a1a5cbf28d: holotype of Acacia collinsii Saff.
Q62933	e16972a4-af7e-4718-8d18-12805ea89192: isotype of Acacia derwentiana A.M.Gray
Q62934	c23ff821-8ade-4619-afdf-52e74d4789ae: holotype of Acacia coatesii Maslin
Q62935	6cf09815-dca3-416f-b815-529a24fb032b: holotype of Acacia collegialis Maslin
Q62936	9c56c3c1-f464-4c40-9e4c-a50ac526bb65: holotype of Acacia collegialis Maslin
Q62937	dd464de4-033b-4468-ba8e-89a7ba9265b7: isotype of Acacia collegialis Maslin
Q62938	98c6d5d7-841b-4406-b9cd-ebd014315d82: holotype of Acacia curryana Maslin
Q62939	94d9a18d-5959-4b37-8eba-ce732ebb8778: holotype of Acacia corusca J.P.Bull, S.J.Dillon & Brearley
Q62940	06a50370-7cdc-45ba-8014-4efea0d3fbe2: holotype of Acacia cummingiana Maslin
Q62941	9a321ee9-5565-4247-9eab-22cde374fbeb: isotype of Acacia douglasica Pedley
Q62942	a9dc726e-2628-43ad-be39-10f61a98cdd3: isotype of Acacia euthycarpa subsp. oblanceolata S.Wright
Q62943	9f9ccc59-ba08-48c8-b711-c9261e79a2ce: holotype of Acacia dissimilis M.W.McDonald
Q62944	gbif:1144776873: isotype of Acacia emilioana Fortunato & Ciald.
Q62945	d994ea4b-4e10-4f43-b401-cb9257f5bdfd: holotype of Acacia diallaga Maslin & Buscumb
Q62946	12b742fb-2005-4627-b992-00f062508613: isotype of Acacia diallaga Maslin & Buscumb
Q62947	8a67fa64-a055-4998-857c-6780867634af: isotype of Acacia diastemata Maslin, M.D.Barrett & R.L.Barrett
Q62948	a8249113-cf10-46ba-aa78-136e11ca7a2c: isotype of Acacia diastemata Maslin, M.D.Barrett & R.L.Barrett
Q62949	f51b6ae1-45dd-4b3d-b8e3-40dabb0bb590: holotype of Acacia diastemata Maslin, M.D.Barrett & R.L.Barrett
Q62950	c494e8fa-8820-4726-b627-9e8b453dfaab: isotype of Acacia diastemata Maslin, M.D.Barrett & R.L.Barrett
Q62951	a86391a1-4dd1-4d49-9947-00821921395e: isotype of Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
Q62952	9515ad4e-4adf-46b8-a9fb-d001c872ad4a: isotype of Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
Q62953	e83b4431-38ce-4b9f-84b7-8144a03152e7: isotype of Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
Q62954	http://specimens.kew.org/herbarium/K001097312: isotype of Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
Q62955	d1ae4722-d4a1-4dc4-9afa-5ed89b74e9fa: isotype of Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
Q62956	efcf858d-c047-4c8a-a412-0e2cff1cb55d: isotype of Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
Q62957	fb07d7a6-7ccd-4af2-8b0e-26b600ec6b01: holotype of Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
Q62958	1f021f32-4a95-45dd-91c1-986237e2c471: holotype of Acacia equisetifolia Maslin & Cowie
Q62959	dbf280d3-8b55-46e0-90f7-9d0ca6fcb76a: holotype of Acacia dilloniorum Maslin
Q62960	1a5c6397-9bd3-4126-9a44-5288bc2e34bf: isotype of Acacia dilloniorum Maslin
Q62961	36f9cb10-9892-40d3-a9eb-8086fe4c30a6: isotype of Acacia dilloniorum Maslin
Q62962	http://specimens.kew.org/herbarium/K000607809: isotype of Acacia dilloniorum Maslin
Q62963	129fd960-db2d-411c-a3e7-3c74a12b812c: isotype of Acacia dilloniorum Maslin
Q62964	318e6c9b-d644-4855-8af0-19946466553e: isotype of Acacia doreta Maslin
Q62965	http://specimens.kew.org/herbarium/K000608037: isotype of Acacia doreta Maslin
Q62966	8dcc8b04-919d-4eea-b06a-c711ab885be9: holotype of Acacia doreta Maslin
Q62967	urn:catalog:MO:Tropicos:1397898: holotype of Acacia farnesiana var. guanacastensis H.D.Clarke, Seigler & Ebinger
Q62968	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00679353: holotype of Acacia fasciculata Kunth
Q62969	3315493: holotype of Acacia globosa Bocage & Miotto
Q62970	https://specieslink.net/guid/259/132910: holotype of Acacia globosa Bocage & Miotto
Q62971	76bca62f-1cb9-48e2-bed1-c3df5c040705: isotype of Acacia fecunda Maslin
Q62972	40e1c1fb-cea0-44df-a76c-ec7ac2f24556: holotype of Acacia fecunda Maslin
Q62973	b4d6dda7-6ff8-4b69-b2fd-09f86ef4a9ac: isotype of Acacia fecunda Maslin
Q62974	7cefb37c-bd2b-48b0-888a-41e7e93d60d0: isotype of Acacia fecunda Maslin
Q62975	UPS:BOT:V-215787: isotype of Acacia fumosa Thulin
Q62976	9eaf9511-b559-40e9-9d77-7ffbe19f7764: holotype of Acacia fuscaneura Maslin & J.E.Reid
Q62977	4195b1fd-40d8-4d22-85a7-06e12543452a: holotype of Acacia fuscaneura Maslin & J.E.Reid
Q62978	8ce76300-3c86-496d-9d27-7b43bb3041eb: isotype of Acacia fuscaneura Maslin & J.E.Reid
Q62979	9ed95aa8-edb5-4a37-99f2-2d7236b5c49c: isotype of Acacia gibsonii Maslin
Q62980	1c4c1127-2fa5-472e-a660-28c9ce815d7f: holotype of Acacia gibsonii Maslin
Q62981	f5592b7b-2585-473f-b1b5-3a2137b9d869: isotype of Acacia fraternalis Maslin
Q62982	1ffc54eb-732e-4a7e-98dc-7279420f7ac7: isotype of Acacia fraternalis Maslin
Q62983	http://specimens.kew.org/herbarium/K000608019: isotype of Acacia fraternalis Maslin
Q62984	af0e50b6-5573-48ea-80b7-7244b22b2848: holotype of Acacia fraternalis Maslin
Q62985	5663229a-0cc2-4553-be4f-c93358210312: isotype of Acacia fraternalis Maslin
Q62986	461fe2d5-d2b4-4c92-acf1-414b56bba22e: isotype of Acacia fraternalis Maslin
Q62987	9fe98c86-b79d-4ef6-8d97-88bf180c2795: isotype of Acacia fraternalis Maslin
Q62988	13aba6aa-b6cb-4ee6-91ef-9a39a5942347: isotype of Acacia forsteri Pedley
Q62989	1d87c124-fe9f-4c11-8f4b-f74619a9cec3: isotype of Acacia forsteri Pedley
Q62990	http://specimens.kew.org/herbarium/K001636355: isotype of Acacia forsteri Pedley
Q62991	928c57a0-12a7-446d-af20-b5adebb21765: isotype of Acacia genistifolia subsp. platyphylla A.T.Webb
Q62992	51cb7194-12da-496c-bfef-4babeb35a995: isotype of Acacia graciliformis Maslin & Buscumb
Q62993	5c4cc73d-f88d-4888-a60d-3d761aa49869: isotype of Acacia graciliformis Maslin & Buscumb
Q62994	ad8559be-58e8-43d7-ba8f-c9a67a472ca3: holotype of Acacia graciliformis Maslin & Buscumb
Q62995	799606b0-437c-432c-86ff-3b6ed7cd8ef3: isotype of Acacia graciliformis Maslin & Buscumb
Q62996	8e55adaf-0772-4329-998b-39fa4a523fd3: isotype of Acacia graciliformis Maslin & Buscumb
Q62997	492f9f0b-7048-4157-9210-df844e8850c2: isotype of Acacia insolita subsp. recurva Maslin
Q62998	b05de621-6e7f-454d-abc6-af19096f64b6: holotype of Acacia insolita subsp. recurva Maslin
Q62999	http://specimens.kew.org/herbarium/K000939633: isotype of Acacia harala Thulin & Al-Gifri
Q63000	http://www.botanicalcollections.be/specimen/BR0000005198757: holotype of Acacia hirta M.Martens & Galeotti
Q63001	http://specimens.kew.org/herbarium/K000091435: isotype of Acacia kallunkiae J.W.Grimes & Barneby
Q63002	1251003: isotype of Acacia kallunkiae J.W.Grimes & Barneby
Q63003	2519070: holotype of Acacia kallunkiae J.W.Grimes & Barneby
Q63004	43b0de58-b415-4604-893d-d56f49aead7d: holotype of Acacia inceana subsp. latifolia Maslin
Q63005	be2f3ddd-5e20-435b-b449-b4543644c54d: isotype of Acacia inceana subsp. latifolia Maslin
Q63006	7d3f5c45-41b6-4203-ae22-1fdb31f40997: isotype of Acacia incognita Maslin & Buscumb
Q63007	dec0ec93-f447-48cc-b060-b714aa54e16a: isotype of Acacia incognita Maslin & Buscumb
Q63008	7fd8debb-65bd-4f26-99ad-7fb2eb71dbef: isotype of Acacia incognita Maslin & Buscumb
Q63009	eebdb58c-ac1b-407d-9dd7-447b097af164: holotype of Acacia incognita Maslin & Buscumb
Q63010	af4c46df-e1cb-4c99-958f-67a3f1b8ee4b: isotype of Acacia incognita Maslin & Buscumb
Q63011	88f501a0-8f13-471a-93cb-c64aa8ef068c: isotype of Acacia incognita Maslin & Buscumb
Q63012	ae138048-ec96-4e9b-ae78-a16b6090f308: holotype of Acacia haematites Maslin
Q63013	78abf661-a260-452f-8ed8-fb713bb5d132: isotype of Acacia haematites Maslin
Q63014	https://specieslink.net/guid/264/13260: holotype of Acacia kallunkiae J.W.Grimes & Barneby
Q63015	129d3f19-70dc-4f13-b9e4-1b045c7c6f4b: isotype of Acacia kallunkiae J.W.Grimes & Barneby
Q63016	2295497: isotype of Acacia kallunkiae J.W.Grimes & Barneby
Q63017	gbif:1144582665: isolectotype of Acacia hirsuta Schltdl.
Q63018	gbif:1144582671: isolectotype of Acacia hartwegii Benth.
Q63019	d38ecbf3-2363-4223-bf96-c294459d5f16: isotype of Acacia infecunda Molyneux & Forrester
Q63020	a8741e6b-c1c4-490a-829f-fd939f6ab9d7: isotype of Acacia infecunda Molyneux & Forrester
Q63021	5b119082-e3de-409d-a63e-994df512ff53: isotype of Acacia infecunda Molyneux & Forrester
Q63022	6d21e6eb-03b9-4535-8987-469cabd9463d: isotype of Acacia infecunda Molyneux & Forrester
Q63023	a8e60ce4-7705-4dcd-b910-a120bd8adbba: isotype of Acacia inceana subsp. latifolia Maslin
Q63024	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00448850: holotype of Acacia kraussiana subsp. madagascariensis Villiers & Du Puy
Q63025	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00533756: isotype of Acacia kraussiana subsp. madagascariensis Villiers & Du Puy
Q63026	ba30d4b1-c213-4962-8923-d3f95b0c942f: isotype of Acacia karina Maslin & Buscumb
Q63027	http://specimens.kew.org/herbarium/K000780080: isotype of Acacia karina Maslin & Buscumb
