occurrenceID	item	gbifID	eventDate	locality	recordedBy	uri	scientificName	col:institutionCode	countryCode
urn:catalog:MO:Tropicos:100933782	Q94510	2268834164		Chepigana: Cerro Pechito Berroa, 600-800 m, var einigen Jahren schon entdeckt von Sr. Porfirio Martínez aus Concepción, Panama, in Kultur bei Sr. Andrés Maduro, Panama, in Kultur in Blüte bei	W. Königer	http://www.tropicos.org/Specimen/100933782	Oncidium martinezii Königer	M	PA
urn:catalog:MO:Tropicos:100933979	Q94529	2268834070		[Panama]: Veragua, Chiriquí Vulkan	J. Warszewicz	http://www.tropicos.org/Specimen/100933979	Oncidium warszewiczii Rchb.f.	W	PA
urn:catalog:MO:Tropicos:100934325	Q98227	2268835561	1976-05-04	Epiphytic along the Altos de Pacora road; cultivated at SEL	Carl A. Luer;Jane Luer;P. Taylor;Robert L. Dressler	http://www.tropicos.org/Specimen/100934325	Platystele dressleri Luer	SEL	PA
urn:catalog:MO:Tropicos:100934394	Q98246	2268835606	1976-03-04	Epiphytic along the Altos de Pacora road	Carl A. Luer;Jane Luer;P. Taylor;Robert L. Dressler	http://www.tropicos.org/Specimen/100934394	Platystele taylorii Luer	SEL	PA
urn:catalog:MO:Tropicos:100934611	Q98359	2268835034	1976-03-02	Epiphytic Cerro Jefe	Carl A. Luer;Jane Luer;P. Taylor;Henry P. Butcher	http://www.tropicos.org/Specimen/100934611	Pleurothallis archicolonae Luer	SEL	PA
urn:catalog:MO:Tropicos:100934643	Q98449	2268835331	1976-08	epiphytic in cloud forest at the Fortuna dam site	Carl A. Luer;Robert L. Dressler	http://www.tropicos.org/Specimen/100934643	Pleurothallis hemileuca Luer	SEL	PA
urn:catalog:MO:Tropicos:100934773	Q91742	2268834710	2015-11-04	Proyecto Minera Cobre Panama. Valle Grande, antiguas oficinas MPSA, quebrada arriaba hacia Patio Limoso.	Irving Vergara-Pérez	http://www.tropicos.org/Specimen/100934773	Miconia amplipedunculata Almeda & O.Ortiz	PMA	PA
urn:catalog:MO:Tropicos:100934804	Q98466	2268835333	1976-12-15	in cloud forest on Cerro Hornito	Carl A. Luer;A. Luer;Robert L. Dressler;Norris H. Williams;F. L. Stevenson	http://www.tropicos.org/Specimen/100934804	Pleurothallis instar Luer	SEL	PA
urn:catalog:MO:Tropicos:100934806	Q98468	2268835602	1976-09-04	epiphytic in the cloud forest near the continental divide above Santa Fe	Carl A. Luer;Robert L. Dressler	http://www.tropicos.org/Specimen/100934806	Pleurothallis isthmica Luer	SEL	PA
urn:catalog:MO:Tropicos:100934809	Q98490	2268835505	1976-03-02	Cerro Jefe, epiphytic' collected 2 March 1976	Carl A. Luer;Henry P. Butcher;Jane Luer;P. Taylor	http://www.tropicos.org/Specimen/100934809	Pleurothallis mammillata Luer	SEL	PA
urn:catalog:MO:Tropicos:100934828	Q98589	2268836122	1976-08	epiphytic in cloud forest above the Fortuna dam camp site, cult at SEL, greenhouse acc. no 123-76-20	Robert L. Dressler	http://www.tropicos.org/Specimen/100934828	Pleurothallis titan Luer	SEL	PA
urn:catalog:MO:Tropicos:100934830	Q98615	2268835073	1976-09-12	Across Río Chiriquí west of Volcán	Carl A. Luer;Henry P. Butcher	http://www.tropicos.org/Specimen/100934830	Pleurothallis volcanica Luer	SEL	PA
urn:catalog:MO:Tropicos:100935107	Q101631	2268835559	1924-02	San Juan, upper reached of the Chagres river	Charles W. Powell	http://www.tropicos.org/Specimen/100935107	Sarcoglottis neglecta Christenson	AMES	PA
urn:catalog:MO:Tropicos:100935112	Q101747	2268836277	1976-03-04	Epiphytic along the Altos de Pacoro road	Carl A. Luer;Jane Luer;P. Taylor;Robert L. Dressler	http://www.tropicos.org/Specimen/100935112	Scaphosepalum clavellatum Luer	SEL	PA
urn:catalog:MO:Tropicos:100935115	Q101761	2268835599	1977-08-21	epiphytic in cloud forest on Cerro Tute, alt. 900 m Jan 1977 R. L. Dressler s.n./ cultivated at SEL greenhouse acc. 77-3 flowered in cult 21 August 1977 C. Luer 1820	Carl A. Luer	http://www.tropicos.org/Specimen/100935115	Scaphosepalum viviparum Luer	SEL	PA
urn:catalog:MO:Tropicos:100935148	Q101778	2268835179	1975-01-09	El Llano-Carti-Tupile road , 10-12 km N. of Inter-Am. Highway	James L. Luteyn;Robert L. Wilbur	http://www.tropicos.org/Specimen/100935148	Scaphyglottis robusta B.R.Adams	DUKE	PA
urn:catalog:MO:Tropicos:100935151	Q102850	2268835347	1976-01-06	La Mesa, north of El Valle de Anton	Henry P. Butcher	http://www.tropicos.org/Specimen/100935151	Sievekingia butcheri Dressler	US	PA
urn:catalog:MO:Tropicos:100935165	Q103139	2268836162			Robert L. Dressler	http://www.tropicos.org/Specimen/100935165	Sobralia fuzukiae Dressler & Bogarín	PMA	PA
urn:catalog:MO:Tropicos:100935166	Q103169	2268836187		collected near road north of Santa Fé de Veraguas. Flowered in culture in Jardin Botánico Lankester, pressed from cultivation, 8 Aug 2009	Robert L. Dressler	http://www.tropicos.org/Specimen/100935166	Sobralia sotoana Dressler & Bogarín	CR	PA
urn:catalog:MO:Tropicos:100935171	Q103590	2268835410	2011-04-19	Costa Rica-Panama. Puntarenas-Chiriquí: Coto Brus-Renacimiento, línea fronteriza hacia el Cerro Pando, después del mojón	Diego Bogarín;Daniel Enrique Jiménez Gamboa;Adam Karremans	http://www.tropicos.org/Specimen/100935171	Specklinia absurda Bogarín, Karremans & Rincón	PMA	PA
urn:catalog:MO:Tropicos:100935455	Q103911	2268835557	1985-11-28	Collected by Andress Maduro at Valle de Anton	Calaway H. Dodson;Andrés Maduro	http://www.tropicos.org/Specimen/100935455	Stanhopea maduroi Dodson & Dressler	RPSC	
urn:catalog:MO:Tropicos:100935491	Q103980	2268836184	1976-09-01	epiphytic in cloud forest above Guadalupe	Carl A. Luer	http://www.tropicos.org/Specimen/100935491	Stelis butcheri Luer	SEL	PA
urn:catalog:MO:Tropicos:100935594	Q96849	2268837044	1979-06-23	Gn Wawonseru [=Mt Wawonseru], SW of Soroako. Limestone mountain with primary forest.	Elbert Hennipman	http://www.tropicos.org/Specimen/100935594	Phaleria stevensiana Z.S.Rogers	A	ID
urn:catalog:MO:Tropicos:100935907	Q104294	2268836202	1976-03-02	Epiphytic in cloud forest on Cerro Jefe	Carl A. Luer;Jane Luer;P. Taylor;Robert L. Dressler	http://www.tropicos.org/Specimen/100935907	Stelis semperflorens Luer	SEL	PA
urn:catalog:MO:Tropicos:100935913	Q104486	2268836710	2005-10-27	without exact provenance, cultivated in San Vito de Java, Costa Rica, by W. Chacon at Happy Garden greenhouses, flowered October 27, 2005	Franco Pupulin	http://www.tropicos.org/Specimen/100935913	Stenotyla panamensis Pupulin	PMA	PA
urn:catalog:MO:Tropicos:100935918	Q105570	2268836556	1960-10-02	Cordillera, unas 4 millas al este del Volcan	Henry P. Butcher	http://www.tropicos.org/Specimen/100935918	Telipogon butcheri Dodson & R.Escobar	RPSC	PA
urn:catalog:MO:Tropicos:100936383	Q95338	2268837703	1980-04-29	Santuario de Iguaque. Forested ridge; valley Canon de Mamarramos; 12 km N of Villa de Leyva. Rocky soil.	Michael Melampy	http://www.tropicos.org/Specimen/100936383	Palicourea gonzaleziana C.M.Taylor	MO	CO
urn:catalog:MO:Tropicos:100936472	Q108016	2268837088	2003-08-02	Along Rd 123.	Pedro Acevedo-Rodríguez	http://www.tropicos.org/Specimen/100936472	Xanthosoma acevedoi Croat & Delannay	US	JM
urn:catalog:MO:Tropicos:100937219	Q83647	2268838986	2010-07-20	Monteverde. Zona Protectora Arenal-Monteverde, Monteverde, Cerro Amigos, donde se ubican las antenas de televisión.	Daniel Santamaría;Laura Lagomarsino	http://www.tropicos.org/Specimen/100937219	Freziera monteverdensis D.Santam., Lagom. & Q.Jiménez	MO	CR
urn:catalog:MO:Tropicos:100937372	Q84793	2268837471		Road between Sururu and Vila Brasil, 6-14 km from Sururu, 12-20 km SE of Buerarema [SW1439].	Scott A. Mori;F.P. Benton	http://www.tropicos.org/Specimen/100937372	Guarea anomala T.D.Penn.	K	BR
urn:catalog:MO:Tropicos:100937826	Q84806	2268836759		Saül, La Fumée Mountain trail.	Scott A. Mori;Carol A. Gracie;Bobbi Angell;M. Rothman	http://www.tropicos.org/Specimen/100937826	Guarea michel-moddei T.D.Penn. & S.A.Mori	K	GF
urn:catalog:MO:Tropicos:100938134	Q84800	2268838733	1998-05	Uniao Biological Reserve.	Reyjane P. de Oliveira	http://www.tropicos.org/Specimen/100938134	Guarea gracilis T.D.Penn.	K	BR
urn:catalog:MO:Tropicos:100938312	Q84796	2268838871		Savegre Abajo de Rio Nuevo, finca de Victor Julio Mena [NW0983], fl.	Armando Estrada	http://www.tropicos.org/Specimen/100938312	Guarea constricta Al.Rodr.	CR	CR
urn:catalog:MO:Tropicos:100938372	Q84804	2268838648	1966-03	Above headwaters of R. San Gian, E of Los Tanques, S of Borburata [NW1067]	Julian A. Steyermark;Cora Steyermark	http://www.tropicos.org/Specimen/100938372	Guarea megacostata T.D.Penn.	K	VE
urn:catalog:MO:Tropicos:100938765	Q82973	2268839553	1993-04-04	5. 2 miles N of Rossville from junction of FM2405; 0.2 mi N of hartung Road. Loose sandy soil of the Eocene Carrizo formatioin.	Mark H. Mayfield;John M. Mendenhall;José L. Panero	http://www.tropicos.org/Specimen/100938765	Euphorbia austrotexana Mayfield	MO	US
urn:catalog:MO:Tropicos:100939127	Q102703	2268840233	1978-10-19	4-6 km E of ecological station Pau-Brasil (ESPAB), ca. 17 km W of Porto Seguro, at old road to Sta. Cruz de Cabralia.	Scott A. Mori;Talmon S. dos Santos;C.B. Thompson	http://www.tropicos.org/Specimen/100939127	Serjania morii Acev.-Rodr.	CEPEC	BR
urn:catalog:MO:Tropicos:100939313	Q89753	2268839270	2003-02-21	Casetas, cerca de la desviación de Otongo; ca. 6.5 km al SW de Tlanchinol, municipio de Tlanchinol.	Sergio Zamudio R.;Adolfo Ibarra	http://www.tropicos.org/Specimen/100939313	Lobelia bipinnatifida Rzed.	IEB	MX
urn:catalog:MO:Tropicos:100939314	Q89752	2268839680	2008-11-01	Cerro de La Magdalena, ladera cercana a la cima.	Pablo Carrillo-Reyes;Miguel Cházaro B.;David Jimeno-Sevilla	http://www.tropicos.org/Specimen/100939314	Lobelia biflora Rzed.	IEB	MX
urn:catalog:MO:Tropicos:100939316	Q89750	2268840801	1985-03-17	A ca. 300 m de Guadalupe de Los Reyes.	J.A. Beltrán M.;J.M. Aguilar P.;Pedro Tenorio L.	http://www.tropicos.org/Specimen/100939316	Lobelia ayersiae Rzed.	ENCB	MX
urn:catalog:MO:Tropicos:100939320	Q89761	2268840939	1986-01-27	Potrero Labores de Milpillas, S.J. de Michis.	J. Alvarado	http://www.tropicos.org/Specimen/100939320	Lobelia corymbiformis Rzed.	IEB	MX
urn:catalog:MO:Tropicos:100939323	Q89764	2268840497	1987-12-13	A 1.5 km al N de Agua Fría.	A. Aquino Carreño	http://www.tropicos.org/Specimen/100939323	Lobelia divergens Rzed.	IEB	MX
urn:catalog:MO:Tropicos:100939327	Q89773	2268839692	1990-10-02	Puente El Cajón de San Antonio a 10 km de Altares, camino Santiago-Cuevecillas.	Oscar Bravo Bolaños	http://www.tropicos.org/Specimen/100939327	Lobelia guzmanii Rzed.	IEB	MX
urn:catalog:MO:Tropicos:100939328	Q89783	2268839993	1985-11-20	7 km al SO-S de Suchixtlahuaca, por terracería rumbo a Santiago Tejupan.	Antonio Salinas T.;Óscar R. Dorado R.	http://www.tropicos.org/Specimen/100939328	Lobelia oaxacana Rzed.	ENCB	MX
urn:catalog:MO:Tropicos:100939357	Q89798	2268839010	1972-02-26	Cerro Pelón, municipio de Comaltepec.	Jerzy Rzedowski	http://www.tropicos.org/Specimen/100939357	Lobelia subscaposa Rzed.	ENCB	MX
urn:catalog:MO:Tropicos:100939702	Q80233	2268840532	2003-09-27	Km 73 Zapopan-Colotlán hwy, 7.5 km N of García de la Cadena.	Aarón Rodríguez C.;Ortiz-Catedral, Luis	http://www.tropicos.org/Specimen/100939702	Echeandia novogaliciana Aarón Rodr. & Ortiz-Cat.	IBUG	MX
urn:catalog:MO:Tropicos:100939710	Q80223	2268839671	2006-09-02	Mpio. Bahía de Banderas, 6.2 km towards Punta Mita, from the intersection with highway Mexico 200.	Aarón Rodríguez C.	http://www.tropicos.org/Specimen/100939710	Echeandia crudeniana Aarón Rodr.	IBUG	MX
urn:catalog:MO:Tropicos:100939754	Q80269	2268840648	2011-09-26	Colima-Jalisco: Mpio. de Comala-Tolimán, camino a Campo Cuatro, Cerro Grande.	J. Antonio Vázquez G.;Miguel Cházaro B.;Jesús Padilla-Lepe	http://www.tropicos.org/Specimen/100939754	Echeveria yalmanantlanensis A.Vázquez & Cházaro	IBUG	MX
urn:catalog:MO:Tropicos:100939767	Q101560	2268840067	2011-09-22	Lake Tapachichi, El Zapote.	Sergio Zamudio R.;Sabina I. Lara Cabrera;Brenda Y. Bedolla-García	http://www.tropicos.org/Specimen/100939767	Salvia tonaticensis Ramamoorthy ex Lara Cabrera, Bedolla & Zamudio	EBUM	MX
urn:catalog:MO:Tropicos:100939783	Q107377	2268841445	2012-07-04	Cascada El Caracol.	A. E. Estrada Castillón	http://www.tropicos.org/Specimen/100939783	Verbesina lanulosa Villarreal & A.E.Estrada	CFNL	MX
urn:catalog:MO:Tropicos:100939804	Q78596	2268841420	2012-10-04	Rancho Las Arenillas, 27 km al NO de Janos, por la carretera a Agua Prieta.	Vega-M., Humberto	http://www.tropicos.org/Specimen/100939804	Dalea janosensis A.E.Estrada & Villarreal	MEXU	MX
urn:catalog:MO:Tropicos:100939815	Q100482	2268840336	2012-06-30	La Soledad.	Jaime Jiménez R.;K. Vega	http://www.tropicos.org/Specimen/100939815	Randia lorenceana J.Jiménez Ram. & Cruz Durán	FCME	MX
urn:catalog:MO:Tropicos:100939848	Q87288	2268839907	2014-12-04	Mpio. Chilpancingo de los Bravo, a 1.5 km al sur del poblado de Acahuizotla.	C. A. González-Martínez;S. Rios-Carrasco	http://www.tropicos.org/Specimen/100939848	Ipomoea discoidea Gonz.-Martínez & J.Jiménez Ram.	FCME	MX
urn:catalog:MO:Tropicos:100940025	Q97488	2268841387	2014-10-25	Acahuizotla, hacia San Roque.	C. A. González-Martínez;S. Rios-Carrasco	http://www.tropicos.org/Specimen/100940025	Picramnia thomasii Gonz.-Martínez & J.Jiménez Ram.	FCME	MX
urn:catalog:MO:Tropicos:100940700	Q104111	2268841026	2012-01-21	New Road Chillanes to Bucay.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940700	Stelis habrostachya Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940701	Q104231	2268841537	2012-01-21	New Road from Chillanes to Bucay.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940701	Stelis perexigua Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940703	Q103957	2268840888	2012-01-21	New Road Chillanes - Bucay.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940703	Stelis aspergilliformis Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940704	Q104059	2268840474	2012-01-28	New road from Chillanes to Bucay.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940704	Stelis ebenea Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940705	Q104176	2268842253	2012-02	Flowered in cultivation by Ximena Hirtz.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940705	Stelis microsynema Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940706	Q103999	2268841707	2012-02-24	West of San Juan at rim old calderaa of Pichincha.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940706	Stelis celesticola Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940707	Q104002	2268841752	2012-03	Flowered in cultivation in Quito, by Ximena Hirtz.	Alexander Hirtz	http://www.tropicos.org/Specimen/100940707	Stelis chemophora Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940708	Q103941	2268841580	2012-03	Flowered in cultivation in Quito by Ximena Hirtz.	Alexander Hirtz	http://www.tropicos.org/Specimen/100940708	Stelis agatha Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940713	Q103982	2268840518	2012-03	San Miguel de los Bancos, David Romero Reserve, flowered in cultivation by A. Hirtz in Quito.	Alexander Hirtz	http://www.tropicos.org/Specimen/100940713	Stelis caesariata Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940715	Q104024	2268841658	2012-04-20	Flowered in cultivation in Quito by Ximena Hirtz.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940715	Stelis cracens Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940718	Q104283	2268841373	2012-04-29	Cultivated at Jardin Botanico de Orquídeas de Sarina by Sara Gutierrez.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940718	Stelis sarae Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940733	Q104308	2268840669	2012-04-29	Cultivated at Jardin Botanico de Orquídeas de Sarina owned by Sara Gutierrez.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940733	Stelis somnolenta Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940776	Q91669	2268841635		Basse Terre, La Soufrière.	Maarten J. M. Christenhusz	http://www.tropicos.org/Specimen/100940776	Mertensia farinosa Kaulf.	K	JM
urn:catalog:MO:Tropicos:100940789	Q104066	2268839840	2012-05-01	West of San Juan, south rim of the old caldera of Pichincha.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940789	Stelis eudialema Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940795	Q103960	2268839745	2012	New road from El Limonal to Chical.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940795	Stelis atroculata Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940799	Q88718	2268841984	2012-05-04	Near Río Blanco, near Chical.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940799	Lepanthes dactylopetala Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940807	Q88679	2268840945	2012-05-04	Cerro Golondrinos.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940807	Lepanthes cercopetala Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940838	Q88905	2268842466	2012-05-04	Near Río Blanco, near Chical.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940838	Lepanthes nautica Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940879	Q88792	2268841063	2012-05-04	Near Río Blanco, near Chical.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940879	Lepanthes gonzalezii Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940880	Q88945	2268841550	2012-05	New road from Gima to San Miguel de Cuyes, flowered in cultivation by Hirtz in Quito, May 2012.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940880	Lepanthes pachychila Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940881	Q89011	2268841093	2012-05-04	Near Río Blanco, near Chical, cultivated in terrarium in Quito.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940881	Lepanthes scoliosa Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940911	Q88911	2268841809	2012-05	New road from Gima to San Miguel de Cuyes, collected by Mario Portillo, flowered in cultivation by Hirtz in Quito, May 2012.	Alexander Hirtz;et al.	http://www.tropicos.org/Specimen/100940911	Lepanthes nephridia Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100940917	Q88922	2268841456	1985-04	Without locality, collected by Hans-Gerhardt Seeger, curator of the living orchid collection at the University of Heidelberg, flowered in cultivation April 1985, Accession Nr. 0-17603.	Hans-Gerhardt Seeger	http://www.tropicos.org/Specimen/100940917	Lepanthes oblivia Luer	MO	EC
urn:catalog:MO:Tropicos:100940921	Q88841	2268840655	2012-04	Without collection data, purchased from Ecuagenera, Gualeceo, Apr. 2009, flowered in cultivation, Apr. 2012, in Borgerhout, Belgium. C. Luer. illustr.	B. T. Larsen	http://www.tropicos.org/Specimen/100940921	Lepanthes larsenii Luer	MO	EC
urn:catalog:MO:Tropicos:100941081	Q83502	2268841542	1974-07-01	Ribeirao Claro (mun. Alto Araguaia	Gert G. Hatschbach	http://www.tropicos.org/Specimen/100941081	Fleischmannia hatschbachii H.Rob.	US	BR
urn:catalog:MO:Tropicos:100941136	Q83506	2268841857	1997-08-12	Area do CINDACTA.	Gert G. Hatschbach;Aurelio Schinini;E. Barbosa	http://www.tropicos.org/Specimen/100941136	Fleischmannia matogrossensis H.Rob.	US	BR
urn:catalog:MO:Tropicos:100941139	Q83510	2268841345	1977-10-21	ns área do CEPEC, N.V. Cordão de Ouro	Talmon S. dos Santos	http://www.tropicos.org/Specimen/100941139	Fleischmannia microstemon var. paniculata H.Rob.	CEPEC	BR
urn:catalog:MO:Tropicos:100941233	Q101762	2268841138	2012-03	Without locality, flowered incultivation by A. Hirtz in Quito, first week of March 2012.	Alexander Hirtz	http://www.tropicos.org/Specimen/100941233	Scaphosepalum ximenae Luer & Hirtz	MO	EC
urn:catalog:MO:Tropicos:100941295	Q104592	2268841934	1974-02-13	Meseta del Jaua, Cerro Sarisariñama, proción NE, bosque enano por encima y al borde de la Sima Mayor.	Julian A. Steyermark	http://www.tropicos.org/Specimen/100941295	Sticherus tepuiensis A.R.Sm.	US	VE
urn:catalog:MO:Tropicos:100941324	Q95886	2268841566	2011-04-08	Brazlândia, ""Poço Azul.""	Regina C. de Oliveira;A. S. Silva;S.H. Santana;M.W.S. Souza	http://www.tropicos.org/Specimen/100941324	Paspalum minutispiculatum P.A.Reis, R.C.Oliveira & Valls	CEN	BR
